Date,Close,UpDown,Comp,Change,Open,High,Low,Volume,Amount,MarCap
2020-04-17,1914.53,1,57.46,0.0308999999999999,1893.31,1926.02,1893.19,1667459582,14127722405516,1287911930998779.0
2020-04-20,1898.36,2,-16.17,-0.0084,1908.34,1925.25,1893.17,1087463349,11915932209602,1276932686171999.0
2020-04-21,1879.38,2,-18.98,-0.01,1886.78,1898.32,1841.66,1174293762,13863164450974,1263694525894965.0
2020-04-22,1896.15,1,16.77,0.0089,1855.51,1897.9,1844.85,820359973,9428672633853,1274786181055578.0
2020-04-23,1914.73,1,18.58,0.0098,1907.45,1923.53,1895.98,683719714,9124271815911,1287024851033628.0
2020-04-24,1889.01,2,-25.72,-0.0134,1906.07,1908.29,1880.71,933917234,9647344478840,1271159366876740.0
2020-04-27,1922.77,1,33.76,0.0179,1897.06,1929.82,1894.62,735662975,8171668846877,1293318256998546.0
2020-04-28,1934.09,1,11.32,0.0059,1931.25,1941.79,1911.63,1173476059,10375078302989,1300504429056374.0
2020-04-29,1947.56,1,13.47,0.0069999999999999,1936.89,1957.51,1934.31,1984181619,10525128532479,1309179248330950.0
2020-05-04,1895.37,2,-52.19,-0.0268,1906.42,1918.66,1894.29,1146855467,10261902202857,1274213042153076.0
2020-05-06,1928.76,1,33.39,0.0176,1919.45,1928.76,1902.55,1082526836,8550700968723,1296556106111278.0
2020-05-07,1928.61,2,-0.15,-0.0001,1922.0,1938.5,1918.57,775657990,7383335083519,1296095632739743.0
2020-05-08,1945.82,1,17.21,0.0089,1944.94,1956.89,1942.54,784772658,7941567564414,1307404235915187.0
2020-05-11,1935.4,2,-10.42,-0.0054,1953.51,1960.46,1932.87,591282994,7752760806973,1300769233598186.0
2020-05-12,1922.17,2,-13.23,-0.0068,1938.62,1938.62,1905.17,799930033,9681896635050,1291568129833589.0
2020-05-13,1940.42,1,18.25,0.0095,1897.5,1940.42,1897.24,618783618,9012307818081,1303464008136505.0
2020-05-14,1924.96,2,-15.46,-0.008,1922.44,1931.43,1913.49,760646303,9469021404658,1292884145462489.0
2020-05-15,1927.28,1,2.32,0.0012,1937.63,1938.59,1913.21,866357217,9723312708078,1294619578424819.0
2020-05-18,1937.11,1,9.83,0.0051,1934.51,1943.07,1921.14,761695993,9394306873102,1301926005473237.0
2020-05-19,1980.61,1,43.5,0.0225,1977.47,1983.77,1968.59,773414630,11918300290192,1331835811527638.0
2020-05-20,1989.64,1,9.03,0.0046,1972.12,1992.2,1972.12,699446970,8248632036086,1337699454438994.0
2020-05-21,1998.31,1,8.67,0.0044,2003.2,2004.95,1993.0,601199346,8636997699884,1343561077622969.0
2020-05-22,1970.13,2,-28.18,-0.0141,2001.6,2002.65,1961.4,847467288,9509771760326,1324302793166826.0
2020-05-25,1994.6,1,24.47,0.0124,1980.51,1994.9,1967.84,641458990,7960324756104,1340826177203951.0
2020-05-26,2029.78,1,35.18,0.0176,2001.0,2029.89,1997.94,1017804023,12545313579781,1363735033916035.0
2020-05-27,2031.2,1,1.42,0.0007,2027.9,2043.44,2019.82,1178847686,12635098387337,1364678862910216.0
2020-05-28,2028.54,2,-2.66,-0.0013,2047.08,2054.52,2003.75,1172134329,14479213391390,1363293486469432.0
2020-05-29,2029.6,1,1.06,0.0005,2018.37,2038.89,2006.62,1086214531,14084590166800,1363450451367235.0
2020-06-01,2065.08,1,35.48,0.0175,2037.04,2065.38,2035.63,997348462,9839657383038,1387477878880702.0
2020-06-02,2087.19,1,22.11,0.0107,2061.45,2089.43,2059.14,1000332119,10232916613603,1402057228354535.0
2020-06-03,2147.0,1,59.81,0.0287,2108.55,2156.55,2107.69,1152001392,16998832251499,1442871666450862.0
2020-06-04,2151.18,1,4.18,0.0019,2181.64,2191.0,2139.68,1393307839,16034002142290,1446260119584246.0
2020-06-05,2181.87,1,30.69,0.0143,2151.17,2187.25,2138.18,854591430,12778905806695,1466769477352700.0
2020-06-08,2184.29,1,2.42,0.0011,2215.6,2217.21,2174.96,854035253,13145519107463,1468714983884430.0
2020-06-09,2188.92,1,4.63,0.0021,2206.23,2212.17,2166.01,817085488,14689860828352,1472051666137017.0
2020-06-10,2195.69,1,6.77,0.0031,2187.91,2200.68,2178.12,706294077,12888183095069,1476712867540628.0
2020-06-11,2176.78,2,-18.91,-0.0086,2184.36,2200.72,2148.51,827381476,16987057620203,1464392589642064.0
2020-06-12,2132.3,2,-44.48,-0.0204,2088.24,2137.12,2084.63,689896760,14960780838903,1434087757539005.0
2020-06-15,2030.82,2,-101.48,-0.0475999999999999,2114.41,2129.67,2030.82,1072277727,18242464517682,1366175254025951.0
2020-06-16,2138.05,1,107.23,0.0528,2091.09,2138.08,2079.02,973638914,13837056898298,1437701364296343.0
2020-06-17,2141.05,1,3.0,0.0014,2133.18,2154.37,2105.26,927515701,15458440200634,1440025501583959.0
2020-06-18,2133.48,2,-7.57,-0.0034999999999999,2134.35,2145.13,2120.29,767184256,11089871020141,1435518023343328.0
2020-06-19,2141.32,1,7.84,0.0037,2153.09,2153.57,2108.91,1079452697,12300498419524,1441080602939928.0
2020-06-22,2126.73,2,-14.59,-0.0068,2126.38,2142.88,2122.1,789371970,10098315248975,1430718937268391.0
2020-06-23,2131.24,1,4.51,0.0021,2149.13,2158.15,2110.51,917567444,13496081372787,1433435233461333.0
2020-06-24,2161.51,1,30.27,0.0141999999999999,2145.93,2171.86,2143.91,913896139,13324797690536,1453951200553877.0
2020-06-25,2112.37,2,-49.14,-0.0227,2130.45,2143.33,2112.37,1017720601,10692627098579,1420866478316469.0
2020-06-26,2134.65,1,22.28,0.0105,2137.47,2142.04,2115.25,761043656,9821159648182,1436168481341002.0
2020-06-29,2093.48,2,-41.17,-0.0192999999999999,2105.54,2120.5,2087.84,643155859,9025867722947,1408463551776580.0
2020-06-30,2108.33,1,14.85,0.0070999999999999,2124.38,2134.38,2108.26,708604874,11699082707241,1418860741475329.0
2020-07-01,2106.7,2,-1.63,-0.0008,2128.81,2133.55,2101.33,1116220850,10232631942700,1417280238019280.0
2020-07-02,2135.37,1,28.67,0.0136,2116.72,2135.37,2113.98,1091965156,10745168204526,1445664482444930.0
2020-07-03,2152.41,1,17.04,0.008,2147.89,2153.54,2135.3,770054734,8649543800140,1456812255014887.0
2020-07-06,2187.93,1,35.52,0.0165,2158.95,2191.28,2157.71,666902024,11656294735939,1480948171498278.0
2020-07-07,2164.17,2,-23.76,-0.0109,2202.04,2206.79,2164.03,847434362,14858393386688,1465179698333403.0
2020-07-08,2158.88,2,-5.29,-0.0024,2166.76,2173.83,2150.89,677810176,11567569371753,1460994855195639.0
2020-07-09,2167.9,1,9.02,0.0042,2171.15,2181.48,2166.74,619368220,12029949538080,1467208749209185.0
2020-07-10,2150.25,2,-17.65,-0.0081,2171.44,2171.52,2140.29,886987422,12048058313719,1455781560911370.0
2020-07-13,2186.06,1,35.81,0.0167,2170.51,2188.8,2163.07,650230828,10462265621930,1479593285922319.0
2020-07-14,2183.61,2,-2.45,-0.0011,2176.43,2183.61,2165.6,810952190,11633360175479,1477856002350806.0
2020-07-15,2201.88,1,18.27,0.0084,2208.73,2216.97,2190.66,830266170,13641396398926,1490240355001560.0
2020-07-16,2183.76,2,-18.12,-0.0081999999999999,2203.3,2207.34,2177.82,784637064,11304254033107,1478307592869367.0
2020-07-17,2201.19,1,17.43,0.008,2187.85,2204.2,2187.85,569297015,10191102923037,1490180654286876.0
2020-07-20,2198.2,2,-2.99,-0.0014,2209.59,2209.59,2183.83,686819331,12025004388559,1488358383872006.0
2020-07-21,2228.83,1,30.63,0.0139,2219.19,2234.86,2214.28,918483110,15759332636629,1509515194204624.0
2020-07-22,2228.66,2,-0.17,-0.0001,2228.2,2238.86,2221.62,856218145,15651892519811,1509717832642203.0
2020-07-23,2216.19,2,-12.47,-0.0056,2227.24,2227.24,2202.99,934542334,16328982791157,1501425781726753.0
2020-07-24,2200.44,2,-15.75,-0.0070999999999999,2196.73,2219.57,2195.49,1001024922,17156946661845,1490986231772619.0
2020-07-27,2217.86,1,17.42,0.0079,2203.48,2231.25,2203.48,928624589,14256877111350,1502710705541910.0
2020-07-28,2256.99,1,39.13,0.0176,2238.19,2266.0,2237.21,866725741,17516981979726,1530086533583406.0
2020-07-29,2263.16,1,6.17,0.0027,2258.35,2276.79,2252.24,899494183,15500571709743,1536196696120976.0
2020-07-30,2267.01,1,3.85,0.0017,2275.33,2281.33,2263.81,713039430,13550209339034,1539287192950517.0
2020-07-31,2249.37,2,-17.64,-0.0078,2278.53,2281.41,2248.49,739688794,13002293229614,1526798727989548.0
2020-08-03,2251.04,1,1.67,0.0007,2251.65,2254.38,2237.04,648462478,13612906120002,1528025690762966.0
2020-08-04,2279.97,1,28.93,0.0129,2272.33,2284.66,2269.69,722906377,15287235291908,1548269501517691.0
2020-08-05,2311.86,1,31.89,0.0139999999999999,2289.23,2312.14,2283.95,841298584,17883091283569,1569777969023678.0
2020-08-06,2342.61,1,30.75,0.0133,2322.64,2352.48,2322.64,797147074,17831685624449,1590672220686184.0
2020-08-07,2351.67,1,9.06,0.0039,2349.25,2362.24,2333.62,812594607,17585764473385,1598022872221562.0
2020-08-10,2386.38,1,34.71,0.0148,2353.92,2390.51,2349.33,784617498,19511321883161,1621675150702310.0
2020-08-11,2418.67,1,32.29,0.0135,2396.11,2429.36,2396.11,843437905,19680402218094,1643244636026510.0
2020-08-12,2432.35,1,13.68,0.0056999999999999,2414.78,2432.35,2393.27,763734794,16680055518488,1652303924857376.0
2020-08-13,2437.53,1,5.18,0.0021,2455.28,2458.17,2412.49,907218783,18250022567058,1656293275231288.0
2020-08-14,2407.49,2,-30.04,-0.0123,2427.85,2435.0,2383.69,968124509,16595686362692,1636857790126833.0
2020-08-18,2348.24,2,-59.25,-0.0246,2405.84,2419.65,2336.78,909750109,17572479450022,1596724896699329.0
2020-08-19,2360.54,1,12.3,0.0052,2370.87,2380.1,2353.17,637965095,12367503045993,1604983684782229.0
2020-08-20,2274.22,2,-86.32,-0.0366,2339.91,2357.08,2270.85,903743682,17101785025778,1546235567296680.0
