DATE,USALOLITONOSTSAM
2020-08-01,98.58877
2020-09-01,98.8585
2020-10-01,99.18831
2020-11-01,99.54637
2020-12-01,99.92159
2021-01-01,100.2579
2021-02-01,100.5935
2021-03-01,100.8863
2021-04-01,101.131
2021-05-01,101.2037
2021-06-01,101.2113
2021-07-01,101.1688
2021-08-01,101.1064
2021-09-01,101.0549
2021-10-01,101.0183
2021-11-01,100.9874
2021-12-01,100.9415
2022-01-01,100.8647
2022-02-01,100.7504
2022-03-01,100.5853
2022-04-01,100.368
2022-05-01,100.1016
2022-06-01,99.82359
2022-07-01,99.57864
2022-08-01,99.38433
2022-09-01,99.22839
2022-10-01,99.10165
2022-11-01,99.00354
2022-12-01,98.94633
2023-01-01,98.92989
2023-02-01,98.93414
2023-03-01,98.95952
2023-04-01,99.02001
2023-05-01,99.11296
2023-06-01,99.2275
2023-07-01,99.33507
2023-08-01,99.42046
2023-09-01,99.48235
2023-10-01,99.53435
2023-11-01,99.60859
2023-12-01,99.71788
2024-01-01,99.85411
