날짜,개인,외국인,기관계,금융투자,보험,투신 (사모),은행,기타금융기관,연기금등,기타법인,date,외국인합계,기관합계
06.11.16,58.0,1069.0,-1127.0,120.0,-201.0,-836.0,-155.0,-14.0,-41.0,0.0,2006-11-16,1069.0,-1127.0
06.11.17,-134.0,-776.0,910.0,-156.0,174.0,594.0,60.0,51.0,186.0,0.0,2006-11-17,-776.0,910.0
06.11.20,899.0,-102.0,-797.0,95.0,-93.0,-879.0,123.0,-44.0,1.0,0.0,2006-11-20,-102.0,-797.0
06.11.21,1027.0,-2135.0,1107.0,-23.0,72.0,934.0,103.0,3.0,19.0,0.0,2006-11-21,-2135.0,1107.0
06.11.22,-244.0,-942.0,1186.0,-107.0,362.0,713.0,-38.0,-7.0,263.0,0.0,2006-11-22,-942.0,1186.0
06.11.23,789.0,-834.0,45.0,200.0,669.0,491.0,-45.0,23.0,-1292.0,0.0,2006-11-23,-834.0,45.0
06.11.24,79.0,-1180.0,1101.0,106.0,49.0,806.0,-203.0,-23.0,366.0,0.0,2006-11-24,-1180.0,1101.0
06.11.27,802.0,-901.0,99.0,313.0,-118.0,65.0,-117.0,-7.0,-37.0,0.0,2006-11-27,-901.0,99.0
06.11.28,884.0,-1356.0,472.0,-149.0,123.0,-319.0,148.0,-9.0,678.0,0.0,2006-11-28,-1356.0,472.0
06.11.29,-1279.0,-1437.0,2716.0,-231.0,308.0,1605.0,-87.0,-65.0,1187.0,0.0,2006-11-29,-1437.0,2716.0
06.11.30,-1098.0,990.0,108.0,-229.0,440.0,-405.0,-150.0,-7.0,460.0,0.0,2006-11-30,990.0,108.0
06.12.01,-322.0,460.0,-139.0,22.0,99.0,-223.0,-311.0,22.0,252.0,0.0,2006-12-01,460.0,-139.0
06.12.04,1097.0,-833.0,-264.0,-323.0,-24.0,-270.0,29.0,-28.0,352.0,0.0,2006-12-04,-833.0,-264.0
06.12.05,-190.0,802.0,-612.0,63.0,-32.0,-397.0,-168.0,30.0,-109.0,0.0,2006-12-05,802.0,-612.0
06.12.06,-129.0,169.0,-39.0,234.0,26.0,84.0,-248.0,-102.0,-33.0,0.0,2006-12-06,169.0,-39.0
06.12.07,-492.0,-651.0,1143.0,380.0,623.0,234.0,-244.0,-7.0,159.0,0.0,2006-12-07,-651.0,1143.0
06.12.08,1047.0,-1689.0,643.0,24.0,25.0,297.0,-124.0,1.0,419.0,0.0,2006-12-08,-1689.0,643.0
06.12.11,340.0,-270.0,-70.0,-57.0,43.0,-116.0,-221.0,14.0,266.0,0.0,2006-12-11,-270.0,-70.0
06.12.12,367.0,1457.0,-1824.0,-241.0,-42.0,-997.0,-331.0,-10.0,-202.0,0.0,2006-12-12,1457.0,-1824.0
06.12.13,285.0,7.0,-291.0,-175.0,286.0,-1287.0,328.0,51.0,505.0,0.0,2006-12-13,7.0,-291.0
06.12.14,-1114.0,7756.0,-6642.0,-222.0,2011.0,-8158.0,-127.0,-35.0,-110.0,0.0,2006-12-14,7756.0,-6642.0
06.12.15,679.0,-415.0,-264.0,429.0,123.0,-772.0,63.0,32.0,-140.0,0.0,2006-12-15,-415.0,-264.0
06.12.18,-341.0,260.0,81.0,-278.0,264.0,79.0,20.0,7.0,-9.0,0.0,2006-12-18,260.0,81.0
06.12.19,428.0,-612.0,183.0,130.0,66.0,-315.0,2399.0,-164.0,-1933.0,0.0,2006-12-19,-612.0,183.0
06.12.20,-592.0,-167.0,758.0,268.0,-107.0,606.0,1890.0,-94.0,-1806.0,0.0,2006-12-20,-167.0,758.0
06.12.21,276.0,1144.0,-1420.0,1613.0,-110.0,-2007.0,-95.0,-6.0,-816.0,0.0,2006-12-21,1144.0,-1420.0
06.12.22,-946.0,1219.0,-273.0,946.0,189.0,-754.0,-4.0,-144.0,-506.0,0.0,2006-12-22,1219.0,-273.0
06.12.26,-312.0,1596.0,-1285.0,402.0,123.0,-1254.0,-65.0,17.0,-508.0,0.0,2006-12-26,1596.0,-1285.0
06.12.27,380.0,148.0,-528.0,450.0,-561.0,-374.0,16.0,-17.0,-42.0,0.0,2006-12-27,148.0,-528.0
06.12.28,-556.0,-248.0,804.0,-101.0,208.0,1540.0,-451.0,-100.0,-291.0,0.0,2006-12-28,-248.0,804.0
07.01.02,301.0,194.0,-495.0,50.0,599.0,-860.0,-91.0,-69.0,-123.0,0.0,2007-01-02,194.0,-495.0
07.01.03,1458.0,-561.0,-897.0,-114.0,73.0,-815.0,-62.0,-3.0,23.0,0.0,2007-01-03,-561.0,-897.0
07.01.04,2301.0,-907.0,-1394.0,-133.0,127.0,-1626.0,143.0,3.0,93.0,0.0,2007-01-04,-907.0,-1394.0
07.01.05,2019.0,-175.0,-1843.0,-576.0,86.0,-1979.0,201.0,175.0,249.0,0.0,2007-01-05,-175.0,-1843.0
07.01.08,1418.0,-2318.0,899.0,-197.0,150.0,365.0,121.0,-15.0,476.0,0.0,2007-01-08,-2318.0,899.0
07.01.09,343.0,-102.0,-241.0,-68.0,115.0,99.0,80.0,-11.0,-455.0,0.0,2007-01-09,-102.0,-241.0
07.01.10,1883.0,-558.0,-1325.0,93.0,107.0,-852.0,-57.0,-76.0,-540.0,0.0,2007-01-10,-558.0,-1325.0
07.01.11,1122.0,-272.0,-850.0,-244.0,60.0,-95.0,41.0,-200.0,-412.0,0.0,2007-01-11,-272.0,-850.0
07.01.12,-197.0,718.0,-521.0,-96.0,-195.0,-845.0,-668.0,11.0,1272.0,0.0,2007-01-12,718.0,-521.0
