ticker,target_price,opinion_score,opinion_text
327260,148842.0,4.0,매수
086900,115000.0,3.33,중립
484870,150000.0,4.0,매수
383800,12500.0,4.0,매수
005389,787308.0,4.0,매수
033160,42000.0,4.0,매수
000640,151000.0,4.0,매수
017940,145000.0,4.0,매수
102710,66000.0,4.0,매수
033500,34667.0,4.0,매수
003030,250000.0,4.0,매수
041830,58500.0,4.0,매수
067160,74167.0,3.67,매수
376300,47733.0,4.0,매수
453340,25000.0,4.0,매수
089010,48000.0,4.0,매수
272290,45000.0,4.0,매수
005810,76650.0,4.0,매수
039130,59800.0,4.0,매수
016380,7850.0,4.0,매수
475960,76000.0,4.0,매수
122640,35000.0,4.0,매수
278280,63000.0,3.5,매수
077360,22000.0,4.0,매수
200710,61250.0,4.0,매수
003545,45667.0,3.67,매수
104830,70000.0,4.0,매수
064290,44500.0,4.0,매수
460860,15300.0,4.0,매수
020000,35333.0,4.0,매수
042000,32000.0,4.0,매수
001530,40000.0,4.0,매수
031430,18857.0,4.0,매수
393890,23667.0,4.0,매수
099190,36000.0,4.0,매수
030520,34333.0,4.0,매수
125490,25000.0,4.0,매수
009900,13000.0,4.0,매수
290550,34000.0,4.0,매수
211050,12000.0,3.0,중립
000157,2297273.0,4.0,매수
005945,42861.0,3.94,매수
014830,109625.0,4.0,매수
372320,80000.0,4.0,매수
024850,34500.0,4.0,매수
011930,43000.0,4.0,매수
018290,20500.0,4.0,매수
340570,84500.0,4.0,매수
330860,73500.0,4.0,매수
170920,60000.0,4.0,매수
389500,86000.0,4.0,매수
006405,840913.0,3.96,매수
025900,11000.0,3.0,중립
095660,29273.0,3.82,매수
138080,60000.0,4.0,매수
251970,58333.0,4.0,매수
107640,82500.0,4.0,매수
381970,15500.0,4.0,매수
036620,7533.0,4.0,매수
039440,44000.0,4.0,매수
013030,53000.0,4.0,매수
215200,60000.0,4.0,매수
230240,51000.0,4.0,매수
027410,6500.0,4.0,매수
456010,60000.0,4.0,매수
060980,56500.0,4.0,매수
394280,28000.0,4.0,매수
085910,43000.0,4.0,매수
145720,70600.0,4.0,매수
403550,20000.0,4.0,매수
306200,203400.0,4.0,매수
354320,120000.0,4.0,매수
017810,16500.0,4.0,매수
105840,32000.0,4.0,매수
090435,176235.0,4.0,매수
170900,61000.0,4.0,매수
097520,32400.0,4.0,매수
02826K,475769.0,4.0,매수
286940,26500.0,4.0,매수
089590,5900.0,3.33,중립
179900,30000.0,4.0,매수
002710,19000.0,4.0,매수
126720,41000.0,4.0,매수
304360,65000.0,4.0,매수
234340,51500.0,4.0,매수
452430,44000.0,4.0,매수
389650,97667.0,4.0,매수
105630,13000.0,3.67,매수
080580,28000.0,4.0,매수
010690,16000.0,4.0,매수
114810,23900.0,4.0,매수
441270,14000.0,4.0,매수
183190,15000.0,4.0,매수
058430,5660.0,4.0,매수
376270,130000.0,4.0,매수
417840,27000.0,4.0,매수
011760,37000.0,4.0,매수
091700,9000.0,4.0,매수
192650,7000.0,4.0,매수
091810,,3.0,중립
049070,30000.0,4.0,매수
069080,15000.0,3.5,매수
482630,29250.0,4.0,매수
078340,38333.0,3.57,매수
094360,25000.0,4.0,매수
089980,30000.0,4.0,매수
194370,21200.0,4.0,매수
099430,9500.0,4.0,매수
052710,35500.0,4.0,매수
036200,15000.0,4.0,매수
058970,43000.0,4.0,매수
450950,14167.0,4.0,매수
104700,12000.0,4.0,매수
073490,80000.0,4.0,매수
272450,8250.0,4.0,매수
041920,32000.0,4.0,매수
236200,63000.0,4.0,매수
034830,2300.0,4.0,매수
086390,26500.0,4.0,매수
084010,13400.0,3.5,매수
108670,49000.0,4.0,매수
001940,33000.0,4.0,매수
033270,27500.0,4.0,매수
061090,80000.0,4.0,매수
462350,22500.0,4.0,매수
043150,28875.0,4.0,매수
053030,15500.0,4.0,매수
092730,25000.0,4.0,매수
001340,7700.0,4.0,매수
215000,71500.0,4.0,매수
001230,3215.0,4.0,매수
035600,13050.0,3.5,매수
060720,18000.0,4.0,매수
054950,34800.0,4.0,매수
051500,44333.0,4.0,매수
194700,26000.0,4.0,매수
036800,35000.0,3.5,매수
005680,17000.0,4.0,매수
243840,11350.0,4.0,매수
005500,26000.0,4.0,매수
043370,15000.0,4.0,매수
091580,35000.0,4.0,매수
002320,,3.0,중립
001250,4300.0,4.0,매수
318060,62000.0,4.0,매수
389020,60000.0,4.0,매수
003555,142000.0,4.0,매수
093520,33000.0,4.0,매수
122900,13000.0,4.0,매수
037560,2567.0,3.0,중립
0008Z0,43000.0,4.0,매수
054210,18000.0,4.0,매수
034120,21500.0,4.0,매수
451760,26700.0,4.0,매수
100120,37667.0,4.0,매수
03473K,761385.0,4.0,매수
051370,15000.0,4.0,매수
394420,40000.0,4.0,매수
