corp_code,corp_name,stock_code,corp_cls,report_nm,rcept_no,flr_nm,rcept_dt,rm
00580056,스맥,099440,K,임원ㆍ주요주주특정증권등소유상황보고서,20260605000299,최영섭,20260605,
01351080,지아이이노베이션,358570,K,임원ㆍ주요주주특정증권등소유상황보고서,20260605000296,김국환,20260605,
00580056,스맥,099440,K,임원ㆍ주요주주특정증권등소유상황보고서,20260605000295,권오혁,20260605,
00541437,코렌텍,104540,K,임원ㆍ주요주주특정증권등소유상황보고서,20260605000289,박형철,20260605,
01351080,지아이이노베이션,358570,K,임원ㆍ주요주주특정증권등소유상황보고서,20260605000288,조영규,20260605,
00147860,에스엠벡셀,010580,Y,최대주주등소유주식변동신고서              ,20260605800446,에스엠벡셀,20260605,유
01351080,지아이이노베이션,358570,K,임원ㆍ주요주주특정증권등소유상황보고서,20260605000285,윤나리,20260605,
00936787,애경케미칼,161000,Y,주식등의대량보유상황보고서(일반),20260605000275,AK홀딩스,20260605,
00555874,제주항공,089590,Y,주식등의대량보유상황보고서(일반),20260605000274,AK홀딩스,20260605,
01549472,대진첨단소재,393970,K,주식등의대량보유상황보고서(일반),20260605000270,유성준,20260605,
00604426,인터로조,119610,K,임원ㆍ주요주주특정증권등소유상황보고서,20260605000257,김용직,20260605,
00127167,삼영무역,002810,Y,최대주주등소유주식변동신고서              ,20260605800390,삼영무역,20260605,유
00883980,아이디스,143160,K,주식등의대량보유상황보고서(일반),20260605000246,아이디스홀딩스,20260605,
01213586,아이디피,332370,K,주식등의대량보유상황보고서(일반),20260605000245,아이디스홀딩스,20260605,
00669450,바이오프로테크,199290,N,주식등의대량보유상황보고서(일반),20260605000244,박익로,20260605,
00106881,인디에프,014990,Y,최대주주등소유주식변동신고서              ,20260605800380,인디에프,20260605,유
00573579,평화산업,090080,Y,임원ㆍ주요주주특정증권등소유상황보고서,20260605000239,황보철,20260605,
00573579,평화산업,090080,Y,최대주주등소유주식변동신고서              ,20260605800374,평화산업,20260605,유
00459871,농심홀딩스,072710,Y,최대주주등소유주식변동신고서              ,20260605800372,농심홀딩스,20260605,유
00106881,인디에프,014990,Y,임원ㆍ주요주주특정증권등소유상황보고서,20260605000231,김지숙,20260605,
01160363,에코프로비엠,247540,K,주식등의대량보유상황보고서(일반),20260605000229,에코프로,20260605,
00126371,삼성전기,009150,Y,임원ㆍ주요주주특정증권등소유상황보고서,20260605000224,국민연금공단,20260605,
01649204,달바글로벌,483650,Y,임원ㆍ주요주주특정증권등소유상황보고서,20260605000221,국민연금공단,20260605,
00172228,엔케이,085310,Y,임원ㆍ주요주주특정증권등소유상황보고서,20260605000219,더세이프티,20260605,
00828497,한미약품,128940,Y,임원ㆍ주요주주특정증권등소유상황보고서,20260605000217,국민연금공단,20260605,
00260383,대한유화,006650,Y,임원ㆍ주요주주특정증권등소유상황보고서,20260605000215,국민연금공단,20260605,
01512575,코어라인소프트,384470,K,임원ㆍ주요주주특정증권등소유상황보고서,20260605000209,정우석,20260605,
00520610,씨큐브,101240,K,주식등의대량보유상황보고서(일반),20260605000208,스타치얼코퍼레이션,20260605,
00520610,씨큐브,101240,K,임원ㆍ주요주주특정증권등소유상황보고서,20260605000205,스타치얼코퍼레이션,20260605,
01511558,네오이뮨텍,950220,K,주식등의대량보유상황보고서(일반),20260605000200,제넥신,20260605,
00390860,대산F&B,065150,K,임원ㆍ주요주주특정증권등소유상황보고서,20260605000199,김상욱,20260605,
00147860,에스엠벡셀,010580,Y,주식등의대량보유상황보고서(일반),20260605000198,에스엠하이플러스,20260605,
