commodity,commodity_name,price_type,market,grade,marketing_year,date,month,value,unit,source,source_sheet,source_url,downloaded_at
sorghum,Sorghum,price_received_by_farmers,,,1951/52,1951-12-01,December,1.4056,USD/bushel,USDA ERS Feed Grains Yearbook Tables - All Years,FGYearbookTable09,https://www.ers.usda.gov/media/5764/feed-grains-yearbook-tables-all-years.xlsx?v=37284,2026-06-04T20:06:29+09:00
sorghum,Sorghum,price_received_by_farmers,,,1951/52,1952-01-01,January,1.4168,USD/bushel,USDA ERS Feed Grains Yearbook Tables - All Years,FGYearbookTable09,https://www.ers.usda.gov/media/5764/feed-grains-yearbook-tables-all-years.xlsx?v=37284,2026-06-04T20:06:29+09:00
sorghum,Sorghum,price_received_by_farmers,,,1951/52,1952-02-01,February,1.4056,USD/bushel,USDA ERS Feed Grains Yearbook Tables - All Years,FGYearbookTable09,https://www.ers.usda.gov/media/5764/feed-grains-yearbook-tables-all-years.xlsx?v=37284,2026-06-04T20:06:29+09:00
sorghum,Sorghum,price_received_by_farmers,,,1951/52,1952-03-01,March,1.4112,USD/bushel,USDA ERS Feed Grains Yearbook Tables - All Years,FGYearbookTable09,https://www.ers.usda.gov/media/5764/feed-grains-yearbook-tables-all-years.xlsx?v=37284,2026-06-04T20:06:29+09:00
sorghum,Sorghum,price_received_by_farmers,,,1951/52,1952-04-01,April,1.4336,USD/bushel,USDA ERS Feed Grains Yearbook Tables - All Years,FGYearbookTable09,https://www.ers.usda.gov/media/5764/feed-grains-yearbook-tables-all-years.xlsx?v=37284,2026-06-04T20:06:29+09:00
sorghum,Sorghum,price_received_by_farmers,,,1951/52,1952-05-01,May,1.456,USD/bushel,USDA ERS Feed Grains Yearbook Tables - All Years,FGYearbookTable09,https://www.ers.usda.gov/media/5764/feed-grains-yearbook-tables-all-years.xlsx?v=37284,2026-06-04T20:06:29+09:00
sorghum,Sorghum,price_received_by_farmers,,,1951/52,1952-06-01,June,1.5008,USD/bushel,USDA ERS Feed Grains Yearbook Tables - All Years,FGYearbookTable09,https://www.ers.usda.gov/media/5764/feed-grains-yearbook-tables-all-years.xlsx?v=37284,2026-06-04T20:06:29+09:00
sorghum,Sorghum,price_received_by_farmers,,,1951/52,1952-07-01,July,1.5064,USD/bushel,USDA ERS Feed Grains Yearbook Tables - All Years,FGYearbookTable09,https://www.ers.usda.gov/media/5764/feed-grains-yearbook-tables-all-years.xlsx?v=37284,2026-06-04T20:06:29+09:00
sorghum,Sorghum,price_received_by_farmers,,,1951/52,1952-08-01,August,1.624,USD/bushel,USDA ERS Feed Grains Yearbook Tables - All Years,FGYearbookTable09,https://www.ers.usda.gov/media/5764/feed-grains-yearbook-tables-all-years.xlsx?v=37284,2026-06-04T20:06:29+09:00
sorghum,Sorghum,price_received_by_farmers,,,1952/53,1952-09-01,September,1.6912,USD/bushel,USDA ERS Feed Grains Yearbook Tables - All Years,FGYearbookTable09,https://www.ers.usda.gov/media/5764/feed-grains-yearbook-tables-all-years.xlsx?v=37284,2026-06-04T20:06:29+09:00
sorghum,Sorghum,price_received_by_farmers,,,1952/53,1952-10-01,October,1.6072,USD/bushel,USDA ERS Feed Grains Yearbook Tables - All Years,FGYearbookTable09,https://www.ers.usda.gov/media/5764/feed-grains-yearbook-tables-all-years.xlsx?v=37284,2026-06-04T20:06:29+09:00
sorghum,Sorghum,price_received_by_farmers,,,1952/53,1952-11-01,November,1.5792,USD/bushel,USDA ERS Feed Grains Yearbook Tables - All Years,FGYearbookTable09,https://www.ers.usda.gov/media/5764/feed-grains-yearbook-tables-all-years.xlsx?v=37284,2026-06-04T20:06:29+09:00
sorghum,Sorghum,price_received_by_farmers,,,1952/53,1952-12-01,December,1.5904,USD/bushel,USDA ERS Feed Grains Yearbook Tables - All Years,FGYearbookTable09,https://www.ers.usda.gov/media/5764/feed-grains-yearbook-tables-all-years.xlsx?v=37284,2026-06-04T20:06:29+09:00
sorghum,Sorghum,price_received_by_farmers,,,1952/53,1953-01-01,January,1.5344,USD/bushel,USDA ERS Feed Grains Yearbook Tables - All Years,FGYearbookTable09,https://www.ers.usda.gov/media/5764/feed-grains-yearbook-tables-all-years.xlsx?v=37284,2026-06-04T20:06:29+09:00
sorghum,Sorghum,price_received_by_farmers,,,1952/53,1953-02-01,February,1.484,USD/bushel,USDA ERS Feed Grains Yearbook Tables - All Years,FGYearbookTable09,https://www.ers.usda.gov/media/5764/feed-grains-yearbook-tables-all-years.xlsx?v=37284,2026-06-04T20:06:29+09:00
sorghum,Sorghum,price_received_by_farmers,,,1952/53,1953-03-01,March,1.4896,USD/bushel,USDA ERS Feed Grains Yearbook Tables - All Years,FGYearbookTable09,https://www.ers.usda.gov/media/5764/feed-grains-yearbook-tables-all-years.xlsx?v=37284,2026-06-04T20:06:29+09:00
sorghum,Sorghum,price_received_by_farmers,,,1952/53,1953-04-01,April,1.4112,USD/bushel,USDA ERS Feed Grains Yearbook Tables - All Years,FGYearbookTable09,https://www.ers.usda.gov/media/5764/feed-grains-yearbook-tables-all-years.xlsx?v=37284,2026-06-04T20:06:29+09:00
sorghum,Sorghum,price_received_by_farmers,,,1952/53,1953-05-01,May,1.3888,USD/bushel,USDA ERS Feed Grains Yearbook Tables - All Years,FGYearbookTable09,https://www.ers.usda.gov/media/5764/feed-grains-yearbook-tables-all-years.xlsx?v=37284,2026-06-04T20:06:29+09:00
sorghum,Sorghum,price_received_by_farmers,,,1952/53,1953-06-01,June,1.3384,USD/bushel,USDA ERS Feed Grains Yearbook Tables - All Years,FGYearbookTable09,https://www.ers.usda.gov/media/5764/feed-grains-yearbook-tables-all-years.xlsx?v=37284,2026-06-04T20:06:29+09:00
sorghum,Sorghum,price_received_by_farmers,,,1952/53,1953-07-01,July,1.3552,USD/bushel,USDA ERS Feed Grains Yearbook Tables - All Years,FGYearbookTable09,https://www.ers.usda.gov/media/5764/feed-grains-yearbook-tables-all-years.xlsx?v=37284,2026-06-04T20:06:29+09:00
sorghum,Sorghum,price_received_by_farmers,,,1952/53,1953-08-01,August,1.3552,USD/bushel,USDA ERS Feed Grains Yearbook Tables - All Years,FGYearbookTable09,https://www.ers.usda.gov/media/5764/feed-grains-yearbook-tables-all-years.xlsx?v=37284,2026-06-04T20:06:29+09:00
sorghum,Sorghum,price_received_by_farmers,,,1953/54,1953-09-01,September,1.2656,USD/bushel,USDA ERS Feed Grains Yearbook Tables - All Years,FGYearbookTable09,https://www.ers.usda.gov/media/5764/feed-grains-yearbook-tables-all-years.xlsx?v=37284,2026-06-04T20:06:29+09:00
sorghum,Sorghum,price_received_by_farmers,,,1953/54,1953-10-01,October,1.2264,USD/bushel,USDA ERS Feed Grains Yearbook Tables - All Years,FGYearbookTable09,https://www.ers.usda.gov/media/5764/feed-grains-yearbook-tables-all-years.xlsx?v=37284,2026-06-04T20:06:29+09:00
sorghum,Sorghum,price_received_by_farmers,,,1953/54,1953-11-01,November,1.2208,USD/bushel,USDA ERS Feed Grains Yearbook Tables - All Years,FGYearbookTable09,https://www.ers.usda.gov/media/5764/feed-grains-yearbook-tables-all-years.xlsx?v=37284,2026-06-04T20:06:29+09:00
sorghum,Sorghum,price_received_by_farmers,,,1953/54,1953-12-01,December,1.2376,USD/bushel,USDA ERS Feed Grains Yearbook Tables - All Years,FGYearbookTable09,https://www.ers.usda.gov/media/5764/feed-grains-yearbook-tables-all-years.xlsx?v=37284,2026-06-04T20:06:29+09:00
sorghum,Sorghum,price_received_by_farmers,,,1953/54,1954-01-01,January,1.2824,USD/bushel,USDA ERS Feed Grains Yearbook Tables - All Years,FGYearbookTable09,https://www.ers.usda.gov/media/5764/feed-grains-yearbook-tables-all-years.xlsx?v=37284,2026-06-04T20:06:29+09:00
sorghum,Sorghum,price_received_by_farmers,,,1953/54,1954-02-01,February,1.2992,USD/bushel,USDA ERS Feed Grains Yearbook Tables - All Years,FGYearbookTable09,https://www.ers.usda.gov/media/5764/feed-grains-yearbook-tables-all-years.xlsx?v=37284,2026-06-04T20:06:29+09:00
sorghum,Sorghum,price_received_by_farmers,,,1953/54,1954-03-01,March,1.344,USD/bushel,USDA ERS Feed Grains Yearbook Tables - All Years,FGYearbookTable09,https://www.ers.usda.gov/media/5764/feed-grains-yearbook-tables-all-years.xlsx?v=37284,2026-06-04T20:06:29+09:00
sorghum,Sorghum,price_received_by_farmers,,,1953/54,1954-04-01,April,1.3608,USD/bushel,USDA ERS Feed Grains Yearbook Tables - All Years,FGYearbookTable09,https://www.ers.usda.gov/media/5764/feed-grains-yearbook-tables-all-years.xlsx?v=37284,2026-06-04T20:06:29+09:00
sorghum,Sorghum,price_received_by_farmers,,,1953/54,1954-05-01,May,1.3832,USD/bushel,USDA ERS Feed Grains Yearbook Tables - All Years,FGYearbookTable09,https://www.ers.usda.gov/media/5764/feed-grains-yearbook-tables-all-years.xlsx?v=37284,2026-06-04T20:06:29+09:00
sorghum,Sorghum,price_received_by_farmers,,,1953/54,1954-06-01,June,1.2712,USD/bushel,USDA ERS Feed Grains Yearbook Tables - All Years,FGYearbookTable09,https://www.ers.usda.gov/media/5764/feed-grains-yearbook-tables-all-years.xlsx?v=37284,2026-06-04T20:06:29+09:00
sorghum,Sorghum,price_received_by_farmers,,,1953/54,1954-07-01,July,1.232,USD/bushel,USDA ERS Feed Grains Yearbook Tables - All Years,FGYearbookTable09,https://www.ers.usda.gov/media/5764/feed-grains-yearbook-tables-all-years.xlsx?v=37284,2026-06-04T20:06:29+09:00
sorghum,Sorghum,price_received_by_farmers,,,1953/54,1954-08-01,August,1.2432,USD/bushel,USDA ERS Feed Grains Yearbook Tables - All Years,FGYearbookTable09,https://www.ers.usda.gov/media/5764/feed-grains-yearbook-tables-all-years.xlsx?v=37284,2026-06-04T20:06:29+09:00
sorghum,Sorghum,price_received_by_farmers,,,1954/55,1954-09-01,September,1.2096,USD/bushel,USDA ERS Feed Grains Yearbook Tables - All Years,FGYearbookTable09,https://www.ers.usda.gov/media/5764/feed-grains-yearbook-tables-all-years.xlsx?v=37284,2026-06-04T20:06:29+09:00
sorghum,Sorghum,price_received_by_farmers,,,1954/55,1954-10-01,October,1.1984,USD/bushel,USDA ERS Feed Grains Yearbook Tables - All Years,FGYearbookTable09,https://www.ers.usda.gov/media/5764/feed-grains-yearbook-tables-all-years.xlsx?v=37284,2026-06-04T20:06:29+09:00
sorghum,Sorghum,price_received_by_farmers,,,1954/55,1954-11-01,November,1.2096,USD/bushel,USDA ERS Feed Grains Yearbook Tables - All Years,FGYearbookTable09,https://www.ers.usda.gov/media/5764/feed-grains-yearbook-tables-all-years.xlsx?v=37284,2026-06-04T20:06:29+09:00
sorghum,Sorghum,price_received_by_farmers,,,1954/55,1954-12-01,December,1.2432,USD/bushel,USDA ERS Feed Grains Yearbook Tables - All Years,FGYearbookTable09,https://www.ers.usda.gov/media/5764/feed-grains-yearbook-tables-all-years.xlsx?v=37284,2026-06-04T20:06:29+09:00
sorghum,Sorghum,price_received_by_farmers,,,1954/55,1955-01-01,January,1.2656,USD/bushel,USDA ERS Feed Grains Yearbook Tables - All Years,FGYearbookTable09,https://www.ers.usda.gov/media/5764/feed-grains-yearbook-tables-all-years.xlsx?v=37284,2026-06-04T20:06:29+09:00
sorghum,Sorghum,price_received_by_farmers,,,1954/55,1955-02-01,February,1.2656,USD/bushel,USDA ERS Feed Grains Yearbook Tables - All Years,FGYearbookTable09,https://www.ers.usda.gov/media/5764/feed-grains-yearbook-tables-all-years.xlsx?v=37284,2026-06-04T20:06:29+09:00
sorghum,Sorghum,price_received_by_farmers,,,1954/55,1955-03-01,March,1.2488,USD/bushel,USDA ERS Feed Grains Yearbook Tables - All Years,FGYearbookTable09,https://www.ers.usda.gov/media/5764/feed-grains-yearbook-tables-all-years.xlsx?v=37284,2026-06-04T20:06:29+09:00
sorghum,Sorghum,price_received_by_farmers,,,1954/55,1955-04-01,April,1.2488,USD/bushel,USDA ERS Feed Grains Yearbook Tables - All Years,FGYearbookTable09,https://www.ers.usda.gov/media/5764/feed-grains-yearbook-tables-all-years.xlsx?v=37284,2026-06-04T20:06:29+09:00
sorghum,Sorghum,price_received_by_farmers,,,1954/55,1955-05-01,May,1.3384,USD/bushel,USDA ERS Feed Grains Yearbook Tables - All Years,FGYearbookTable09,https://www.ers.usda.gov/media/5764/feed-grains-yearbook-tables-all-years.xlsx?v=37284,2026-06-04T20:06:29+09:00
sorghum,Sorghum,price_received_by_farmers,,,1954/55,1955-06-01,June,1.2544,USD/bushel,USDA ERS Feed Grains Yearbook Tables - All Years,FGYearbookTable09,https://www.ers.usda.gov/media/5764/feed-grains-yearbook-tables-all-years.xlsx?v=37284,2026-06-04T20:06:29+09:00
sorghum,Sorghum,price_received_by_farmers,,,1954/55,1955-07-01,July,1.0976,USD/bushel,USDA ERS Feed Grains Yearbook Tables - All Years,FGYearbookTable09,https://www.ers.usda.gov/media/5764/feed-grains-yearbook-tables-all-years.xlsx?v=37284,2026-06-04T20:06:29+09:00
sorghum,Sorghum,price_received_by_farmers,,,1954/55,1955-08-01,August,0.9912,USD/bushel,USDA ERS Feed Grains Yearbook Tables - All Years,FGYearbookTable09,https://www.ers.usda.gov/media/5764/feed-grains-yearbook-tables-all-years.xlsx?v=37284,2026-06-04T20:06:29+09:00
sorghum,Sorghum,price_received_by_farmers,,,1955/56,1955-09-01,September,0.9352,USD/bushel,USDA ERS Feed Grains Yearbook Tables - All Years,FGYearbookTable09,https://www.ers.usda.gov/media/5764/feed-grains-yearbook-tables-all-years.xlsx?v=37284,2026-06-04T20:06:29+09:00
sorghum,Sorghum,price_received_by_farmers,,,1955/56,1955-10-01,October,0.9128,USD/bushel,USDA ERS Feed Grains Yearbook Tables - All Years,FGYearbookTable09,https://www.ers.usda.gov/media/5764/feed-grains-yearbook-tables-all-years.xlsx?v=37284,2026-06-04T20:06:29+09:00
sorghum,Sorghum,price_received_by_farmers,,,1955/56,1955-11-01,November,0.9296,USD/bushel,USDA ERS Feed Grains Yearbook Tables - All Years,FGYearbookTable09,https://www.ers.usda.gov/media/5764/feed-grains-yearbook-tables-all-years.xlsx?v=37284,2026-06-04T20:06:29+09:00
sorghum,Sorghum,price_received_by_farmers,,,1955/56,1955-12-01,December,0.9632,USD/bushel,USDA ERS Feed Grains Yearbook Tables - All Years,FGYearbookTable09,https://www.ers.usda.gov/media/5764/feed-grains-yearbook-tables-all-years.xlsx?v=37284,2026-06-04T20:06:29+09:00
sorghum,Sorghum,price_received_by_farmers,,,1955/56,1956-01-01,January,0.9968,USD/bushel,USDA ERS Feed Grains Yearbook Tables - All Years,FGYearbookTable09,https://www.ers.usda.gov/media/5764/feed-grains-yearbook-tables-all-years.xlsx?v=37284,2026-06-04T20:06:29+09:00
sorghum,Sorghum,price_received_by_farmers,,,1955/56,1956-02-01,February,1.0136,USD/bushel,USDA ERS Feed Grains Yearbook Tables - All Years,FGYearbookTable09,https://www.ers.usda.gov/media/5764/feed-grains-yearbook-tables-all-years.xlsx?v=37284,2026-06-04T20:06:29+09:00
sorghum,Sorghum,price_received_by_farmers,,,1955/56,1956-03-01,March,1.0304,USD/bushel,USDA ERS Feed Grains Yearbook Tables - All Years,FGYearbookTable09,https://www.ers.usda.gov/media/5764/feed-grains-yearbook-tables-all-years.xlsx?v=37284,2026-06-04T20:06:29+09:00
sorghum,Sorghum,price_received_by_farmers,,,1955/56,1956-04-01,April,1.0808,USD/bushel,USDA ERS Feed Grains Yearbook Tables - All Years,FGYearbookTable09,https://www.ers.usda.gov/media/5764/feed-grains-yearbook-tables-all-years.xlsx?v=37284,2026-06-04T20:06:29+09:00
sorghum,Sorghum,price_received_by_farmers,,,1955/56,1956-05-01,May,1.1312,USD/bushel,USDA ERS Feed Grains Yearbook Tables - All Years,FGYearbookTable09,https://www.ers.usda.gov/media/5764/feed-grains-yearbook-tables-all-years.xlsx?v=37284,2026-06-04T20:06:29+09:00
sorghum,Sorghum,price_received_by_farmers,,,1955/56,1956-06-01,June,1.1312,USD/bushel,USDA ERS Feed Grains Yearbook Tables - All Years,FGYearbookTable09,https://www.ers.usda.gov/media/5764/feed-grains-yearbook-tables-all-years.xlsx?v=37284,2026-06-04T20:06:29+09:00
sorghum,Sorghum,price_received_by_farmers,,,1955/56,1956-07-01,July,1.1592,USD/bushel,USDA ERS Feed Grains Yearbook Tables - All Years,FGYearbookTable09,https://www.ers.usda.gov/media/5764/feed-grains-yearbook-tables-all-years.xlsx?v=37284,2026-06-04T20:06:29+09:00
sorghum,Sorghum,price_received_by_farmers,,,1955/56,1956-08-01,August,1.204,USD/bushel,USDA ERS Feed Grains Yearbook Tables - All Years,FGYearbookTable09,https://www.ers.usda.gov/media/5764/feed-grains-yearbook-tables-all-years.xlsx?v=37284,2026-06-04T20:06:29+09:00
sorghum,Sorghum,price_received_by_farmers,,,1956/57,1956-09-01,September,1.1368,USD/bushel,USDA ERS Feed Grains Yearbook Tables - All Years,FGYearbookTable09,https://www.ers.usda.gov/media/5764/feed-grains-yearbook-tables-all-years.xlsx?v=37284,2026-06-04T20:06:29+09:00
sorghum,Sorghum,price_received_by_farmers,,,1956/57,1956-10-01,October,1.1592,USD/bushel,USDA ERS Feed Grains Yearbook Tables - All Years,FGYearbookTable09,https://www.ers.usda.gov/media/5764/feed-grains-yearbook-tables-all-years.xlsx?v=37284,2026-06-04T20:06:29+09:00
