date,advancing,declining,adv_volume,dec_volume,trin,signal
2025-07-15,361,506,239283989,144463765,0.4307,Bullish
2025-07-16,188,698,212135244,185067129,0.235,Bullish
2025-07-17,387,466,243432384,128685153,0.439,Bullish
2025-07-18,300,586,196866320,138741068,0.3608,Bullish
2025-07-21,386,486,181318564,105043905,0.4601,Bullish
2025-07-22,209,678,137762036,209780399,0.4694,Bullish
2025-07-23,385,496,381630430,128105358,0.2606,Bullish
2025-07-24,190,702,143871786,212175432,0.3991,Bullish
2025-07-25,367,500,201034626,159970061,0.5841,Bullish
2025-07-28,179,715,230056531,185994397,0.2024,Bullish
2025-07-29,463,409,209321624,121947534,0.6595,Bullish
2025-07-30,471,402,164910406,135997108,0.9662,Neutral
2025-07-31,399,464,257124232,219789138,0.7351,Bullish
2025-08-01,35,878,108981323,292351949,0.1069,Bullish
2025-08-04,671,209,191101264,54970990,0.9235,Neutral
2025-08-05,679,190,212244233,29818304,0.5021,Bullish
2025-08-06,640,234,207128554,82195342,1.0854,Neutral
2025-08-07,452,407,205864832,75501111,0.4073,Bullish
2025-08-08,380,486,189552208,103743450,0.4279,Bullish
2025-08-11,296,575,147936373,119891805,0.4172,Bullish
2025-08-12,343,542,160787022,140944610,0.5547,Bullish
2025-08-13,411,464,184144461,104799389,0.5041,Bullish
2025-08-14,377,495,253345209,164857284,0.4956,Bullish
2025-08-18,193,697,130397209,166201073,0.3529,Bullish
2025-08-19,266,609,91578589,158050851,0.7538,Bullish
2025-08-20,239,639,133892062,182830470,0.5107,Bullish
2025-08-21,511,360,178009778,80346333,0.6407,Bullish
2025-08-22,457,411,134641894,89190927,0.7366,Bullish
2025-08-25,598,267,156257837,50134180,0.7186,Bullish
2025-08-26,320,537,140499547,175028488,0.7424,Bullish
2025-08-27,334,519,121885058,97336455,0.5139,Bullish
2025-08-28,481,380,143876686,84057820,0.7395,Bullish
2025-08-29,298,578,115319380,101989304,0.456,Bullish
2025-09-01,199,690,113940528,126527067,0.3203,Bullish
2025-09-02,480,375,99995875,121142976,1.5507,Bearish
2025-09-03,499,368,165534996,60557224,0.4961,Bullish
2025-09-04,604,248,147420519,46658581,0.7708,Bullish
2025-09-05,448,400,168759176,95882142,0.6363,Bullish
2025-09-08,540,320,213223549,61991307,0.4906,Bullish
2025-09-09,587,284,225358463,98912186,0.9072,Neutral
2025-09-10,632,241,304275410,56638816,0.4881,Bullish
2025-09-11,458,403,278269342,102743892,0.4196,Bullish
2025-09-12,519,342,307070774,95163073,0.4703,Bullish
2025-09-15,479,396,208105580,127925108,0.7436,Bullish
2025-09-16,294,567,213904012,126771719,0.3073,Bullish
2025-09-17,300,565,104872460,153912779,0.7793,Bullish
2025-09-18,588,260,190385797,83454024,0.9913,Neutral
2025-09-19,239,635,129374781,169204324,0.4923,Bullish
2025-09-22,331,542,134131933,127542651,0.5807,Bullish
2025-09-23,268,596,167809573,130358045,0.3493,Bullish
2025-09-24,193,682,130040717,137100972,0.2984,Bullish
2025-09-25,334,530,140906248,121008264,0.5412,Bullish
2025-09-26,119,773,142428935,232914709,0.2517,Bullish
2025-09-29,595,268,251758890,46839409,0.4131,Bullish
2025-09-30,278,583,120311588,355979117,1.4109,Bearish
2025-10-01,384,471,336958638,122502572,0.2964,Bullish
2025-10-02,584,292,235696146,133175224,1.1301,Neutral
2025-10-10,273,619,213602790,164037710,0.3387,Bullish
2025-10-13,272,591,175954053,164122243,0.4293,Bullish
2025-10-14,313,560,427637317,237503714,0.3104,Bullish
2025-10-15,756,125,466238537,49182965,0.638,Bullish
2025-10-16,487,387,346682151,100392068,0.3644,Bullish
2025-10-17,219,666,145908736,230816232,0.5202,Bullish
2025-10-20,592,283,295788976,86258376,0.61,Bullish
2025-10-21,364,496,265491571,194113991,0.5366,Bullish
2025-10-22,632,245,469208075,71949084,0.3956,Bullish
2025-10-23,259,602,182895512,202930965,0.4774,Bullish
2025-10-24,471,404,259074815,110320288,0.4964,Bullish
2025-10-27,557,319,358238237,98403944,0.4796,Bullish
2025-10-28,375,499,216561093,159663153,0.5541,Bullish
2025-10-29,302,562,250469907,169117271,0.3628,Bullish
2025-10-30,190,702,195557914,299721587,0.4148,Bullish
2025-10-31,318,554,217181927,160773616,0.4249,Bullish
2025-11-03,287,609,267265896,175601428,0.3096,Bullish
2025-11-04,380,501,212791548,178715131,0.637,Bullish
2025-11-05,170,730,194815019,376409011,0.4499,Bullish
2025-11-06,629,264,211583953,186112037,2.0957,Bearish
2025-11-07,211,674,97037359,243547866,0.7857,Bullish
2025-11-10,801,98,271279361,40263697,1.2131,Neutral
2025-11-11,339,538,199733564,151257641,0.4772,Bullish
2025-11-12,785,115,233060390,73548968,2.1542,Bearish
2025-11-13,475,380,270982567,120607990,0.5563,Bullish
2025-11-14,169,714,88317188,245874932,0.659,Bullish
2025-11-17,391,488,178815165,119978735,0.5376,Bullish
2025-11-18,81,816,58806178,227769822,0.3845,Bullish
2025-11-19,462,414,164217104,138372679,0.9403,Neutral
2025-11-20,747,138,286089071,47312474,0.8952,Neutral
2025-11-21,178,713,49293206,216614448,1.0971,Neutral
2025-11-24,301,575,143640785,170991162,0.6232,Bullish
2025-11-25,323,551,109651500,121695027,0.6506,Bullish
