date,indicator,indicator_name,category,frequency,ticker,open,high,low,close,adj_close,volume,unit,source,source_url,downloaded_at
2020-09-29,move,ICE BofAML MOVE Index,bond_volatility,daily,^MOVE,37.400001525878906,37.400001525878906,36.619998931884766,36.619998931884766,36.619998931884766,0,Index,Yahoo Finance,https://finance.yahoo.com/quote/^MOVE,2026-06-05T21:39:22+09:00
2020-09-30,move,ICE BofAML MOVE Index,bond_volatility,daily,^MOVE,36.619998931884766,39.209999084472656,36.619998931884766,39.209999084472656,39.209999084472656,0,Index,Yahoo Finance,https://finance.yahoo.com/quote/^MOVE,2026-06-05T21:39:22+09:00
2020-10-01,move,ICE BofAML MOVE Index,bond_volatility,daily,^MOVE,39.209999084472656,39.209999084472656,38.650001525878906,38.650001525878906,38.650001525878906,0,Index,Yahoo Finance,https://finance.yahoo.com/quote/^MOVE,2026-06-05T21:39:22+09:00
2020-10-02,move,ICE BofAML MOVE Index,bond_volatility,daily,^MOVE,38.650001525878906,39.970001220703125,38.650001525878906,39.970001220703125,39.970001220703125,0,Index,Yahoo Finance,https://finance.yahoo.com/quote/^MOVE,2026-06-05T21:39:22+09:00
2020-10-05,move,ICE BofAML MOVE Index,bond_volatility,daily,^MOVE,39.970001220703125,39.970001220703125,39.810001373291016,39.810001373291016,39.810001373291016,0,Index,Yahoo Finance,https://finance.yahoo.com/quote/^MOVE,2026-06-05T21:39:22+09:00
2020-10-06,move,ICE BofAML MOVE Index,bond_volatility,daily,^MOVE,39.810001373291016,57.75,39.810001373291016,57.75,57.75,0,Index,Yahoo Finance,https://finance.yahoo.com/quote/^MOVE,2026-06-05T21:39:22+09:00
2020-10-07,move,ICE BofAML MOVE Index,bond_volatility,daily,^MOVE,57.75,57.75,56.97999954223633,56.97999954223633,56.97999954223633,0,Index,Yahoo Finance,https://finance.yahoo.com/quote/^MOVE,2026-06-05T21:39:22+09:00
2020-10-08,move,ICE BofAML MOVE Index,bond_volatility,daily,^MOVE,56.97999954223633,57.310001373291016,56.97999954223633,57.310001373291016,57.310001373291016,0,Index,Yahoo Finance,https://finance.yahoo.com/quote/^MOVE,2026-06-05T21:39:22+09:00
2020-10-09,move,ICE BofAML MOVE Index,bond_volatility,daily,^MOVE,57.310001373291016,57.52000045776367,57.310001373291016,57.52000045776367,57.52000045776367,0,Index,Yahoo Finance,https://finance.yahoo.com/quote/^MOVE,2026-06-05T21:39:22+09:00
2020-10-13,move,ICE BofAML MOVE Index,bond_volatility,daily,^MOVE,57.52000045776367,57.52000045776367,55.59000015258789,55.59000015258789,55.59000015258789,0,Index,Yahoo Finance,https://finance.yahoo.com/quote/^MOVE,2026-06-05T21:39:22+09:00
2020-10-14,move,ICE BofAML MOVE Index,bond_volatility,daily,^MOVE,55.59000015258789,55.59000015258789,53.5,53.5,53.5,0,Index,Yahoo Finance,https://finance.yahoo.com/quote/^MOVE,2026-06-05T21:39:22+09:00
2020-10-15,move,ICE BofAML MOVE Index,bond_volatility,daily,^MOVE,53.5,55.619998931884766,53.5,55.619998931884766,55.619998931884766,0,Index,Yahoo Finance,https://finance.yahoo.com/quote/^MOVE,2026-06-05T21:39:22+09:00
2020-10-16,move,ICE BofAML MOVE Index,bond_volatility,daily,^MOVE,55.619998931884766,57.25,55.619998931884766,57.25,57.25,0,Index,Yahoo Finance,https://finance.yahoo.com/quote/^MOVE,2026-06-05T21:39:22+09:00
2020-10-19,move,ICE BofAML MOVE Index,bond_volatility,daily,^MOVE,57.25,61.15999984741211,57.25,61.15999984741211,61.15999984741211,0,Index,Yahoo Finance,https://finance.yahoo.com/quote/^MOVE,2026-06-05T21:39:22+09:00
2020-10-20,move,ICE BofAML MOVE Index,bond_volatility,daily,^MOVE,61.15999984741211,61.15999984741211,60.41999816894531,60.41999816894531,60.41999816894531,0,Index,Yahoo Finance,https://finance.yahoo.com/quote/^MOVE,2026-06-05T21:39:22+09:00
2020-10-21,move,ICE BofAML MOVE Index,bond_volatility,daily,^MOVE,60.41999816894531,60.41999816894531,59.06999969482422,59.06999969482422,59.06999969482422,0,Index,Yahoo Finance,https://finance.yahoo.com/quote/^MOVE,2026-06-05T21:39:22+09:00
2020-10-22,move,ICE BofAML MOVE Index,bond_volatility,daily,^MOVE,59.06999969482422,59.72999954223633,59.06999969482422,59.72999954223633,59.72999954223633,0,Index,Yahoo Finance,https://finance.yahoo.com/quote/^MOVE,2026-06-05T21:39:22+09:00
2020-10-23,move,ICE BofAML MOVE Index,bond_volatility,daily,^MOVE,59.72999954223633,59.72999954223633,58.459999084472656,58.459999084472656,58.459999084472656,0,Index,Yahoo Finance,https://finance.yahoo.com/quote/^MOVE,2026-06-05T21:39:22+09:00
2020-10-26,move,ICE BofAML MOVE Index,bond_volatility,daily,^MOVE,58.459999084472656,58.95000076293945,58.459999084472656,58.95000076293945,58.95000076293945,0,Index,Yahoo Finance,https://finance.yahoo.com/quote/^MOVE,2026-06-05T21:39:22+09:00
2020-10-27,move,ICE BofAML MOVE Index,bond_volatility,daily,^MOVE,58.95000076293945,58.95000076293945,57.880001068115234,57.880001068115234,57.880001068115234,0,Index,Yahoo Finance,https://finance.yahoo.com/quote/^MOVE,2026-06-05T21:39:22+09:00
2020-10-28,move,ICE BofAML MOVE Index,bond_volatility,daily,^MOVE,57.880001068115234,57.880001068115234,57.130001068115234,57.130001068115234,57.130001068115234,0,Index,Yahoo Finance,https://finance.yahoo.com/quote/^MOVE,2026-06-05T21:39:22+09:00
2020-10-29,move,ICE BofAML MOVE Index,bond_volatility,daily,^MOVE,57.130001068115234,61.29999923706055,57.130001068115234,61.29999923706055,61.29999923706055,0,Index,Yahoo Finance,https://finance.yahoo.com/quote/^MOVE,2026-06-05T21:39:22+09:00
2020-10-30,move,ICE BofAML MOVE Index,bond_volatility,daily,^MOVE,61.29999923706055,61.90999984741211,61.29999923706055,61.90999984741211,61.90999984741211,0,Index,Yahoo Finance,https://finance.yahoo.com/quote/^MOVE,2026-06-05T21:39:22+09:00
2020-11-02,move,ICE BofAML MOVE Index,bond_volatility,daily,^MOVE,61.90999984741211,63.560001373291016,61.90999984741211,63.560001373291016,63.560001373291016,0,Index,Yahoo Finance,https://finance.yahoo.com/quote/^MOVE,2026-06-05T21:39:22+09:00
2020-11-03,move,ICE BofAML MOVE Index,bond_volatility,daily,^MOVE,63.560001373291016,64.37000274658203,63.560001373291016,64.37000274658203,64.37000274658203,0,Index,Yahoo Finance,https://finance.yahoo.com/quote/^MOVE,2026-06-05T21:39:22+09:00
2020-11-04,move,ICE BofAML MOVE Index,bond_volatility,daily,^MOVE,64.37000274658203,64.37000274658203,47.7400016784668,47.7400016784668,47.7400016784668,0,Index,Yahoo Finance,https://finance.yahoo.com/quote/^MOVE,2026-06-05T21:39:22+09:00
2020-11-05,move,ICE BofAML MOVE Index,bond_volatility,daily,^MOVE,47.7400016784668,47.7400016784668,43.7599983215332,43.7599983215332,43.7599983215332,0,Index,Yahoo Finance,https://finance.yahoo.com/quote/^MOVE,2026-06-05T21:39:22+09:00
2020-11-06,move,ICE BofAML MOVE Index,bond_volatility,daily,^MOVE,43.7599983215332,43.7599983215332,39.880001068115234,39.880001068115234,39.880001068115234,0,Index,Yahoo Finance,https://finance.yahoo.com/quote/^MOVE,2026-06-05T21:39:22+09:00
2020-11-09,move,ICE BofAML MOVE Index,bond_volatility,daily,^MOVE,39.880001068115234,44.939998626708984,39.880001068115234,44.939998626708984,44.939998626708984,0,Index,Yahoo Finance,https://finance.yahoo.com/quote/^MOVE,2026-06-05T21:39:22+09:00
2020-11-10,move,ICE BofAML MOVE Index,bond_volatility,daily,^MOVE,44.939998626708984,46.189998626708984,44.939998626708984,46.189998626708984,46.189998626708984,0,Index,Yahoo Finance,https://finance.yahoo.com/quote/^MOVE,2026-06-05T21:39:22+09:00
