date,indicator,indicator_name,category,frequency,ticker,open,high,low,close,adj_close,volume,unit,source,source_url,downloaded_at
2012-06-21,dxy,U.S. Dollar Index,fx_liquidity,daily,DX-Y.NYB,81.4800033569336,82.38999938964844,81.44000244140625,82.31999969482422,82.31999969482422,0,Index,Yahoo Finance,https://finance.yahoo.com/quote/DX-Y.NYB,2026-06-05T21:39:22+09:00
2012-06-22,dxy,U.S. Dollar Index,fx_liquidity,daily,DX-Y.NYB,82.29000091552734,82.45999908447266,82.1500015258789,82.22000122070312,82.22000122070312,0,Index,Yahoo Finance,https://finance.yahoo.com/quote/DX-Y.NYB,2026-06-05T21:39:22+09:00
2012-06-25,dxy,U.S. Dollar Index,fx_liquidity,daily,DX-Y.NYB,82.33999633789062,82.62999725341797,82.31999969482422,82.45999908447266,82.45999908447266,0,Index,Yahoo Finance,https://finance.yahoo.com/quote/DX-Y.NYB,2026-06-05T21:39:22+09:00
2012-06-26,dxy,U.S. Dollar Index,fx_liquidity,daily,DX-Y.NYB,82.43000030517578,82.68000030517578,82.23999786376953,82.37000274658203,82.37000274658203,0,Index,Yahoo Finance,https://finance.yahoo.com/quote/DX-Y.NYB,2026-06-05T21:39:22+09:00
2012-06-27,dxy,U.S. Dollar Index,fx_liquidity,daily,DX-Y.NYB,82.41999816894531,82.69000244140625,82.30000305175781,82.55999755859375,82.55999755859375,0,Index,Yahoo Finance,https://finance.yahoo.com/quote/DX-Y.NYB,2026-06-05T21:39:22+09:00
2012-06-28,dxy,U.S. Dollar Index,fx_liquidity,daily,DX-Y.NYB,82.52999877929688,82.87000274658203,82.2300033569336,82.66999816894531,82.66999816894531,0,Index,Yahoo Finance,https://finance.yahoo.com/quote/DX-Y.NYB,2026-06-05T21:39:22+09:00
2012-06-29,dxy,U.S. Dollar Index,fx_liquidity,daily,DX-Y.NYB,82.73999786376953,82.73999786376953,81.43000030517578,81.6500015258789,81.6500015258789,0,Index,Yahoo Finance,https://finance.yahoo.com/quote/DX-Y.NYB,2026-06-05T21:39:22+09:00
2012-07-02,dxy,U.S. Dollar Index,fx_liquidity,daily,DX-Y.NYB,81.63999938964844,81.95999908447266,81.51000213623047,81.87000274658203,81.87000274658203,0,Index,Yahoo Finance,https://finance.yahoo.com/quote/DX-Y.NYB,2026-06-05T21:39:22+09:00
2012-07-03,dxy,U.S. Dollar Index,fx_liquidity,daily,DX-Y.NYB,81.88999938964844,82.0199966430664,81.52999877929688,81.77999877929688,81.77999877929688,0,Index,Yahoo Finance,https://finance.yahoo.com/quote/DX-Y.NYB,2026-06-05T21:39:22+09:00
2012-07-05,dxy,U.S. Dollar Index,fx_liquidity,daily,DX-Y.NYB,82.19000244140625,82.94999694824219,82.08000183105469,82.80999755859375,82.80999755859375,0,Index,Yahoo Finance,https://finance.yahoo.com/quote/DX-Y.NYB,2026-06-05T21:39:22+09:00
2012-07-06,dxy,U.S. Dollar Index,fx_liquidity,daily,DX-Y.NYB,82.83000183105469,83.43000030517578,82.75,83.29000091552734,83.29000091552734,0,Index,Yahoo Finance,https://finance.yahoo.com/quote/DX-Y.NYB,2026-06-05T21:39:22+09:00
2012-07-09,dxy,U.S. Dollar Index,fx_liquidity,daily,DX-Y.NYB,83.33000183105469,83.5,83.08999633789062,83.16000366210938,83.16000366210938,0,Index,Yahoo Finance,https://finance.yahoo.com/quote/DX-Y.NYB,2026-06-05T21:39:22+09:00
