ticker,period,buyback_count,dividend_count,insider_count,total_count,buyback_event_flag,buyback_count_3m,buyback_count_zscore_own_6m,dividend_event_flag,dividend_count_3m,dividend_count_zscore_own_6m,insider_event_flag,insider_count_3m,insider_count_zscore_own_6m,event_activity_score,event_activity_bucket
357780,2025-08-01,0,0,1,1,False,0,,False,0,,True,4,,0.0,quiet
357780,2025-09-01,0,0,1,1,False,0,,False,0,,True,4,-0.5,0.125,quiet
357780,2025-10-01,0,0,2,2,False,0,,False,0,,True,4,1.0954451150103321,0.25795375958419436,normal
357780,2025-11-01,0,0,1,1,False,0,,False,0,,True,4,-0.6454972243679026,0.11287523130267478,quiet
357780,2025-12-01,0,0,3,3,False,0,,False,0,,True,6,1.632993161855452,0.302749430154621,normal
357780,2026-01-01,0,0,2,2,False,0,,False,0,,True,6,0.4082482904638629,0.20068735753865527,normal
357780,2026-02-01,0,2,5,7,False,0,,True,2,2.041241452319315,True,10,1.7712297710801903,0.6476024809233492,elevated_activity
357780,2026-03-01,0,0,4,4,False,0,,False,2,-0.408248290463863,True,11,0.7925939239012169,0.23271616032510142,normal
357780,2026-04-01,0,0,1,1,False,0,,False,2,-0.408248290463863,True,10,-1.0206207261596574,0.08161493948669522,quiet
357780,2026-05-01,0,0,2,2,False,0,,False,0,-0.408248290463863,True,7,-0.5661385170722979,0.11948845691064185,quiet
357780,2026-06-01,0,0,0,0,False,0,,False,0,-0.408248290463863,False,3,-1.2532010295690077,0.062233247535916025,quiet
358570,2025-06-01,0,0,2,2,False,0,,False,0,,True,2,,0.0,quiet
358570,2025-07-01,0,0,2,2,False,0,,False,0,,True,4,,0.0,quiet
358570,2025-08-01,0,0,0,0,False,0,,False,0,,False,4,,0.0,quiet
358570,2025-09-01,0,0,5,5,False,0,,False,0,,True,7,1.3339459376998313,0.2778288281416526,normal
358570,2025-10-01,0,0,0,0,False,0,,False,0,,False,5,-0.8783100656536798,0.09347416119552669,quiet
358570,2025-11-01,0,0,1,1,False,0,,False,0,,True,6,-0.35805743701971643,0.13682854691502364,quiet
358570,2025-12-01,0,0,5,5,False,0,,False,0,,True,6,1.2230532340215274,0.26858776950179397,normal
358570,2026-01-01,0,0,12,12,False,0,,False,0,,True,18,1.7667554604399218,0.31389628836999345,normal
358570,2026-02-01,0,0,2,2,False,0,,False,0,,True,19,-0.4975040219977373,0.1252079981668552,quiet
358570,2026-03-01,0,0,7,7,False,0,,False,0,,True,21,0.5548709520230941,0.21290591266859119,normal
358570,2026-04-01,0,0,2,2,False,0,,False,0,,True,11,-0.6798912261050386,0.11000906449124677,quiet
