ticker,period,balance,balance_ratio,listed_shares
020150,2025-08-01,530613,1.01,52365463
020150,2025-09-01,646610,1.23,52365463
020150,2025-10-01,339029,0.65,52365463
020150,2025-11-01,1386849,2.65,52365463
020150,2025-12-01,1161805,2.22,52365463
020150,2026-01-01,1357954,2.59,52365463
020150,2026-02-01,977748,1.87,52365463
020150,2026-03-01,801871,1.53,52365463
020150,2026-04-01,580901,1.11,52365463
020150,2026-05-01,451003,0.86,52365463
020150,2026-06-01,519768,0.99,52365463
021240,2025-04-01,16067,0.02,72563745
021240,2025-05-01,54862,0.08,71909133
021240,2025-06-01,43220,0.06,71909133
021240,2025-07-01,114790,0.16,71909133
021240,2025-08-01,139142,0.19,71909133
021240,2025-09-01,128913,0.18,71909133
021240,2025-10-01,38670,0.05,71909133
021240,2025-11-01,40042,0.06,71909133
021240,2025-12-01,8019,0.01,71909133
021240,2026-01-01,381639,0.53,71909133
021240,2026-02-01,0,0.0,71909133
021240,2026-03-01,0,0.0,70767426
021240,2026-04-01,0,0.0,70767426
021240,2026-05-01,0,0.0,70767426
021240,2026-06-01,0,0.0,70767426
022100,2025-04-01,2441716,1.61,152034729
022100,2025-05-01,2505941,1.65,152034729
022100,2025-06-01,2513156,1.65,152034729
022100,2025-07-01,2257340,1.48,152034729
022100,2025-08-01,2311999,1.52,152034729
022100,2025-09-01,2744908,1.81,152034729
022100,2025-10-01,1558459,1.03,152034729
022100,2025-11-01,1903753,1.25,152034729
022100,2025-12-01,1711107,1.13,152034729
022100,2026-01-01,3834781,2.52,152034729
022100,2026-02-01,3785553,2.49,152034729
022100,2026-03-01,2879453,1.89,152034729
022100,2026-04-01,3840736,2.53,152034729
022100,2026-05-01,3288477,2.16,152034729
022100,2026-06-01,3068056,2.02,152034729
023160,2025-04-01,57326,0.22,26500000
023160,2025-05-01,83153,0.31,26500000
023160,2025-06-01,29154,0.11,26500000
023160,2025-07-01,279475,1.05,26500000
023160,2025-08-01,285516,1.08,26500000
023160,2025-09-01,6247,0.02,26500000
023160,2025-10-01,86567,0.33,26500000
023160,2025-11-01,29506,0.11,26500000
023160,2025-12-01,59939,0.23,26500000
023160,2026-01-01,20478,0.08,26500000
023160,2026-02-01,55859,0.21,26500000
023160,2026-03-01,25214,0.1,25867242
023160,2026-04-01,85636,0.33,25867242
023160,2026-05-01,134704,0.52,25867242
023160,2026-06-01,57944,0.22,25867242
023530,2025-04-01,191552,0.68,28288755
023530,2025-05-01,124020,0.44,28288755
023530,2025-06-01,95004,0.34,28288755
023530,2025-07-01,74940,0.26,28288755
023530,2025-08-01,82422,0.29,28288755
023530,2025-09-01,69940,0.25,28288755
023530,2025-10-01,48268,0.17,28288755
023530,2025-11-01,32508,0.11,28288755
023530,2025-12-01,43393,0.15,28288755
023530,2026-01-01,47641,0.17,28288755
023530,2026-02-01,41017,0.14,28288755
023530,2026-03-01,67570,0.24,28288755
023530,2026-04-01,106598,0.38,28288755
023530,2026-05-01,182964,0.65,28288755
023530,2026-06-01,127789,0.45,28288755
023590,2025-04-01,18119,0.04,44866617
023590,2025-05-01,21037,0.05,44866617
023590,2025-06-01,26056,0.06,44866617
023590,2025-07-01,27034,0.06,44866617
023590,2025-08-01,0,0.0,44866617
023590,2025-09-01,84411,0.19,44866617
023590,2025-10-01,73124,0.16,44866617
023590,2025-11-01,156218,0.35,44866617
023590,2025-12-01,115764,0.26,44866617
023590,2026-01-01,110386,0.25,44866617
023590,2026-02-01,150008,0.33,44866617
023590,2026-03-01,200098,0.45,44866617
023590,2026-04-01,84313,0.19,43287312
023590,2026-05-01,118657,0.27,43287312
023590,2026-06-01,86056,0.2,43287312
024110,2025-04-01,362594,0.05,797425869
024110,2025-05-01,528871,0.07,797425869
024110,2025-06-01,410375,0.05,797425869
024110,2025-07-01,1115135,0.14,797425869
024110,2025-08-01,1063597,0.13,797425869
024110,2025-09-01,1117626,0.14,797425869
024110,2025-10-01,1618260,0.2,797425869
024110,2025-11-01,1728726,0.22,797425869
024110,2025-12-01,847825,0.11,797425869
024110,2026-01-01,1278181,0.16,797425869
024110,2026-02-01,759612,0.1,797425869
024110,2026-03-01,1100146,0.14,797425869
024110,2026-04-01,1013058,0.13,797425869
024110,2026-05-01,1020194,0.13,797425869
024110,2026-06-01,878075,0.11,797425869
025320,2025-04-01,2195333,2.49,87991570
025320,2025-05-01,2447368,2.79,87720296
025320,2025-06-01,2956629,3.37,87720296
025320,2025-07-01,2956023,3.37,87725596
025320,2025-08-01,3121436,3.56,87725596
025320,2025-09-01,2341222,2.67,87728246
025320,2025-10-01,2218372,2.53,87733546
025320,2025-11-01,2079425,2.37,87733546
025320,2025-12-01,1668036,1.9,87733546
025320,2026-01-01,1883993,2.05,92119503
025320,2026-02-01,1703968,1.85,92154503
025320,2026-03-01,2236588,2.43,92154503
025320,2026-04-01,2012707,2.18,92154503
025320,2026-05-01,2533745,2.75,92162453
025320,2026-06-01,2637137,2.86,92162453
025900,2025-04-01,341303,0.68,50557285
