period,group_name,keywords,ratio,chunk_id
2023-04-01,semiconductor,반도체|HBM|메모리반도체|시스템반도체,0.36748,0
2023-05-01,semiconductor,반도체|HBM|메모리반도체|시스템반도체,0.41937,0
2023-06-01,semiconductor,반도체|HBM|메모리반도체|시스템반도체,0.3388,0
2023-07-01,semiconductor,반도체|HBM|메모리반도체|시스템반도체,0.45699,0
2023-08-01,semiconductor,반도체|HBM|메모리반도체|시스템반도체,0.41188,0
2023-09-01,semiconductor,반도체|HBM|메모리반도체|시스템반도체,0.36162,0
2023-10-01,semiconductor,반도체|HBM|메모리반도체|시스템반도체,0.3255,0
2023-11-01,semiconductor,반도체|HBM|메모리반도체|시스템반도체,0.33672,0
2023-12-01,semiconductor,반도체|HBM|메모리반도체|시스템반도체,0.33299,0
2024-01-01,semiconductor,반도체|HBM|메모리반도체|시스템반도체,0.38806,0
2024-02-01,semiconductor,반도체|HBM|메모리반도체|시스템반도체,0.41865,0
2024-03-01,semiconductor,반도체|HBM|메모리반도체|시스템반도체,0.53797,0
2024-04-01,semiconductor,반도체|HBM|메모리반도체|시스템반도체,0.41005,0
2024-05-01,semiconductor,반도체|HBM|메모리반도체|시스템반도체,0.48381,0
2024-06-01,semiconductor,반도체|HBM|메모리반도체|시스템반도체,0.37165,0
2024-07-01,semiconductor,반도체|HBM|메모리반도체|시스템반도체,0.41132,0
2024-08-01,semiconductor,반도체|HBM|메모리반도체|시스템반도체,0.27107,0
2024-09-01,semiconductor,반도체|HBM|메모리반도체|시스템반도체,0.31012,0
2024-10-01,semiconductor,반도체|HBM|메모리반도체|시스템반도체,0.38978,0
2024-11-01,semiconductor,반도체|HBM|메모리반도체|시스템반도체,0.32706,0
2024-12-01,semiconductor,반도체|HBM|메모리반도체|시스템반도체,0.2836,0
2025-01-01,semiconductor,반도체|HBM|메모리반도체|시스템반도체,0.3131,0
2025-02-01,semiconductor,반도체|HBM|메모리반도체|시스템반도체,0.25582,0
2025-03-01,semiconductor,반도체|HBM|메모리반도체|시스템반도체,0.2463,0
2025-04-01,semiconductor,반도체|HBM|메모리반도체|시스템반도체,0.28285,0
2025-05-01,semiconductor,반도체|HBM|메모리반도체|시스템반도체,0.21614,0
2025-06-01,semiconductor,반도체|HBM|메모리반도체|시스템반도체,0.226,0
2025-07-01,semiconductor,반도체|HBM|메모리반도체|시스템반도체,0.23634,0
2025-08-01,semiconductor,반도체|HBM|메모리반도체|시스템반도체,0.22641,0
2025-09-01,semiconductor,반도체|HBM|메모리반도체|시스템반도체,0.24145,0
2025-10-01,semiconductor,반도체|HBM|메모리반도체|시스템반도체,0.31087,0
2025-11-01,semiconductor,반도체|HBM|메모리반도체|시스템반도체,0.2606,0
2025-12-01,semiconductor,반도체|HBM|메모리반도체|시스템반도체,0.19526,0
2026-01-01,semiconductor,반도체|HBM|메모리반도체|시스템반도체,0.36662,0
2026-02-01,semiconductor,반도체|HBM|메모리반도체|시스템반도체,0.3306,0
2026-03-01,semiconductor,반도체|HBM|메모리반도체|시스템반도체,0.31753,0
2026-04-01,semiconductor,반도체|HBM|메모리반도체|시스템반도체,0.27483,0
2026-05-01,semiconductor,반도체|HBM|메모리반도체|시스템반도체,0.44788,0
2026-06-01,semiconductor,반도체|HBM|메모리반도체|시스템반도체,0.07009,0
2021-01-01,shipbuilding,조선|선박|LNG선|조선주,0.20558,0
2021-02-01,shipbuilding,조선|선박|LNG선|조선주,0.18203,0
2021-03-01,shipbuilding,조선|선박|LNG선|조선주,0.25057,0
2021-04-01,shipbuilding,조선|선박|LNG선|조선주,0.23499,0
2021-05-01,shipbuilding,조선|선박|LNG선|조선주,0.22642,0
2021-06-01,shipbuilding,조선|선박|LNG선|조선주,0.18038,0
2021-07-01,shipbuilding,조선|선박|LNG선|조선주,0.15651,0
2021-08-01,shipbuilding,조선|선박|LNG선|조선주,0.1488,0
2021-09-01,shipbuilding,조선|선박|LNG선|조선주,0.14837,0
2021-10-01,shipbuilding,조선|선박|LNG선|조선주,0.19927,0
2021-11-01,shipbuilding,조선|선박|LNG선|조선주,0.16127,0
