,Open,High,Low,Close,Volume,Adj Close
2018-12-06,468.75,468.75,468.75,468.75,0.0,468.75
2018-12-07,484.5,484.5,484.5,484.5,5.0,484.5
2018-12-10,486.25,486.25,482.75,482.75,6.0,482.75
2018-12-11,492.25,492.25,477.25,477.25,19.0,477.25
2018-12-12,483.75,483.75,483.75,483.75,4.0,483.75
2018-12-13,504.0,504.0,492.5,492.5,1.0,492.5
2018-12-14,492.5,492.5,492.5,492.5,20364.0,492.5
2018-12-17,518.0,524.25,517.0,522.0,15664.0,522.0
2018-12-18,520.25,522.5,515.75,517.25,19466.0,517.25
2018-12-19,517.75,517.75,508.0,508.5,17509.0,508.5
2018-12-20,511.0,514.25,507.0,509.5,20809.0,509.5
2018-12-21,509.5,510.0,499.25,502.75,26944.0,502.75
2018-12-24,502.5,506.75,497.5,502.5,8628.0,502.5
2018-12-26,503.25,508.25,494.5,495.5,12351.0,495.5
2018-12-27,497.25,498.75,491.25,495.0,12748.0,495.0
2018-12-28,494.25,497.75,493.0,496.0,12378.0,496.0
2018-12-31,496.0,497.0,487.25,488.75,15027.0,488.75
2019-01-02,490.0,497.25,487.75,492.5,22636.0,492.5
2019-01-03,492.25,504.5,492.25,503.5,19855.0,503.5
2019-01-04,504.0,508.75,503.5,506.0,16023.0,506.0
2019-01-07,506.25,507.25,500.5,503.0,16884.0,503.0
2019-01-08,501.0,510.25,499.0,505.0,22437.0,505.0
2019-01-09,506.25,511.0,504.75,505.5,19743.0,505.5
2019-01-10,504.75,505.5,496.25,498.75,22714.0,498.75
2019-01-11,497.5,508.75,497.5,504.5,27505.0,504.5
2019-01-14,504.5,509.25,498.75,499.0,18097.0,499.0
2019-01-15,499.0,502.75,492.25,495.5,27064.0,495.5
2019-01-16,495.5,500.75,494.25,495.5,22024.0,495.5
2019-01-17,494.75,508.25,493.25,504.0,39694.0,504.0
2019-01-18,505.75,509.0,503.25,506.0,27171.0,506.0
2019-01-22,506.0,514.0,502.75,509.75,37643.0,509.75
2019-01-23,510.25,515.5,510.25,515.0,17825.0,515.0
2019-01-24,515.0,518.0,510.5,511.5,25695.0,511.5
2019-01-25,510.0,513.25,506.25,509.5,23792.0,509.5
2019-01-28,510.0,513.25,504.5,506.75,19351.0,506.75
2019-01-29,506.75,509.25,498.25,500.25,35174.0,500.25
2019-01-30,500.0,505.75,498.0,502.25,19088.0,502.25
2019-01-31,502.0,504.0,497.0,499.0,25174.0,499.0
2019-02-01,500.0,510.75,498.5,508.75,37841.0,508.75
2019-02-04,510.0,513.0,505.75,510.5,27461.0,510.5
2019-02-05,509.25,512.0,506.0,511.25,33374.0,511.25
2019-02-06,510.0,513.5,507.25,509.25,35495.0,509.25
2019-02-07,507.5,508.75,495.0,496.25,50210.0,496.25
2019-02-08,496.5,500.5,492.5,494.25,48094.0,494.25
2019-02-11,493.25,495.5,487.5,493.75,48297.0,493.75
2019-02-12,492.75,495.0,488.25,492.0,41369.0,492.0
2019-02-13,491.5,495.25,490.0,494.0,34998.0,494.0
2019-02-14,492.25,494.5,481.25,481.5,28536.0,481.5
2019-02-15,483.25,484.75,472.0,476.5,35386.0,476.5
2019-02-19,472.75,478.5,460.0,460.75,32573.0,460.75
2019-02-20,463.25,465.25,449.5,450.0,32339.0,450.0
2019-02-21,450.25,461.75,450.25,455.25,24715.0,455.25
2019-02-22,456.25,462.25,455.0,458.5,30427.0,458.5
2019-02-25,460.0,462.75,441.5,442.25,40210.0,442.25
2019-02-26,442.75,444.5,432.0,435.75,31630.0,435.75
2019-02-27,433.25,444.0,433.25,438.75,17376.0,438.75
2019-02-28,442.0,444.75,439.5,441.0,1589.0,441.0
2019-03-01,444.75,445.75,436.0,440.75,570.0,440.75
2019-03-04,443.0,444.5,434.25,434.25,114.0,434.25
2019-03-05,448.25,448.5,444.0,444.0,15.0,444.0
2019-03-06,437.5,437.5,431.25,431.25,3.0,431.25
2019-03-07,436.25,436.25,419.0,420.25,17.0,420.25
2019-03-08,429.0,433.5,424.75,424.75,7.0,424.75
2019-03-11,414.25,414.25,414.25,414.25,0.0,414.25
2019-03-12,435.75,435.75,435.75,435.75,0.0,435.75
2019-03-13,423.0,441.25,423.0,429.75,12.0,429.75
2019-03-14,429.75,429.75,429.75,429.75,29569.0,429.75
2019-03-15,436.75,444.5,433.0,443.0,25892.0,443.0
2019-03-18,443.5,444.5,433.5,436.5,30628.0,436.5
2019-03-19,439.0,443.25,433.5,435.75,23690.0,435.75
2019-03-20,436.75,444.75,436.0,444.0,26620.0,444.0
2019-03-21,444.0,448.25,439.25,447.0,21193.0,447.0
2019-03-22,446.0,452.0,443.25,445.0,24264.0,445.0
2019-03-25,445.25,451.5,441.5,449.25,22254.0,449.25
2019-03-26,449.5,454.0,442.25,443.25,24905.0,443.25
2019-03-27,443.0,446.0,441.0,444.5,24282.0,444.5
2019-03-28,444.5,444.5,435.75,438.75,15801.0,438.75
2019-03-29,438.0,441.0,427.25,430.0,35215.0,430.0
2019-04-01,431.0,438.25,427.0,434.5,29346.0,434.5
2019-04-02,435.5,437.25,422.75,433.25,31870.0,433.25
2019-04-03,431.75,438.75,430.75,436.75,23747.0,436.75
2019-04-04,437.0,443.5,434.25,439.5,31936.0,439.5
2019-04-05,438.5,438.5,430.0,431.25,35512.0,431.25
2019-04-08,430.5,435.25,427.75,431.5,30364.0,431.5
2019-04-09,428.0,430.5,422.0,427.5,37405.0,427.5
2019-04-10,426.75,430.0,424.5,426.25,40466.0,426.25
2019-04-11,425.0,433.25,424.5,430.5,39041.0,430.5
2019-04-12,432.25,435.25,428.75,434.25,22807.0,434.25
2019-04-15,434.25,434.75,426.5,427.25,24842.0,427.25
2019-04-16,427.0,428.25,414.25,417.0,27744.0,417.0
2019-04-17,418.0,423.0,416.75,420.5,17204.0,420.5
2019-04-18,421.25,423.5,415.25,420.0,20198.0,420.0
2019-04-22,420.0,420.0,410.75,411.75,13991.0,411.75
2019-04-23,411.5,414.75,408.0,414.5,23745.0,414.5
2019-04-24,413.25,415.75,403.75,404.5,22061.0,404.5
2019-04-25,404.0,406.75,400.5,404.25,22949.0,404.25
2019-04-26,405.0,407.75,398.75,399.75,26203.0,399.75
2019-04-29,400.5,404.0,388.25,389.75,17109.0,389.75
